city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Bat Yam,3,3,0,4,70,3500,apartment,50
Bat Yam,3,3,0,2,80,4300,apartment,53.75
Bat Yam,4,4,0,23,100,12000,apartment,120
Bat Yam,4,4,0,4,95,5000,apartment,52.63
Bat Yam,3,3,0,4,79,7000,apartment,88.61
Bat Yam,3,3,0,2,75,4250,apartment,56.67
Bat Yam,2,2,0,9,45,5000,apartment,111.11
Bat Yam,5,5,0,10,125,7750,apartment,62
Bat Yam,4,4,0,22,105,8700,apartment,82.86
Bat Yam,2.5,2,1,4,67,3850,apartment,57.46
Bat Yam,3,3,0,3,64,5000,apartment,78.13
Bat Yam,2.5,2,1,2,54,4200,apartment,77.78
Bat Yam,2.5,2,1,1,80,4600,garden apartment,57.5
Bat Yam,2.5,2,1,1,40,3500,apartment,87.5
Bat Yam,3,3,0,1,71,4500,apartment,63.38
Bat Yam,4,4,0,2,100,7200,apartment,72
Bat Yam,2,2,0,0,33,3800,apartment,115.15
Bat Yam,3,3,0,3,75,5200,apartment,69.33
Bat Yam,3.5,3,1,4,85,5200,apartment,61.18
Bat Yam,3.5,3,1,3,110,5600,apartment,50.91
Bat Yam,5,5,0,4,145,7800,apartment,53.79
Bat Yam,4,4,0,1,80,4900,apartment,61.25
Bat Yam,2.5,2,1,4,60,4300,apartment,71.67
Bat Yam,2.5,2,1,0,70,3750,apartment,53.57
Bat Yam,2,2,0,3,55,4000,apartment,72.73
Bat Yam,2,2,0,4,56,4000,housing unit,71.43
Bat Yam,3,3,0,1,85,4200,apartment,49.41
Bat Yam,3,3,0,7,85,6700,apartment,78.82
Bat Yam,3,3,0,1,52,7000,apartment,134.62
Bat Yam,3,3,0,1,70,4000,apartment,57.14
Bat Yam,3.5,3,1,3,93,3500,apartment,37.63
Bat Yam,2,2,0,3,56,3700,apartment,66.07
Bat Yam,4,4,0,5,100,7800,apartment,78
Bat Yam,2,2,0,3,57,3800,apartment,66.67
Bat Yam,1,1,0,0,40,3300,garden apartment,82.5
Bat Yam,2,2,0,3,60,4200,apartment,70
Bat Yam,2,2,0,0,60,4500,garden apartment,75
Bat Yam,4,4,0,4,90,6800,apartment,75.56
Bat Yam,4,4,0,3,133,7200,duplex,54.14
Bat Yam,4,4,0,6,90,8500,apartment,94.44
Bat Yam,4,4,0,32,120,10000,apartment,83.33
Bat Yam,2,2,0,0,42,3300,apartment,78.57
Bat Yam,3,3,0,9,82,6500,apartment,79.27
Bat Yam,4,4,0,6,103,7000,apartment,67.96
Bat Yam,4,4,0,2,100,6499,apartment,64.99
Bat Yam,5,5,0,12,145,9000,apartment,62.07
Bat Yam,3,3,0,2,107,6400,apartment,59.81
Bat Yam,3.5,3,1,3,90,5700,apartment,63.33
Bat Yam,3,3,0,2,74,4300,apartment,58.11
Bat Yam,3,3,0,3,80,4300,apartment,53.75
Bat Yam,2.5,2,1,4,64,4000,apartment,62.5
Bat Yam,5,5,0,3,120,6000,apartment,50
Bat Yam,3,3,0,1,75,4500,apartment,60
Bat Yam,3,3,0,2,88,6000,apartment,68.18
Bat Yam,4,4,0,20,120,8400,apartment,70
Bat Yam,5,5,0,5,190,9200,penthouse,48.42
Bat Yam,3,3,0,0,80,4400,apartment,55
Bat Yam,3,3,0,1,60,4800,apartment,80
Bat Yam,3,3,0,1,55,4900,apartment,89.09
Bat Yam,1,1,0,0,20,2500,apartment,125
Bat Yam,2.5,2,1,2,75,4200,apartment,56
Bat Yam,2,2,0,0,30,3500,housing unit,116.67
Bat Yam,3,3,0,3,70,3950,apartment,56.43
